uid,semester,academic_year_id,legacy_count,new_count,severity,note
"0704230065","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,609,593] new_only=[]"
"0704230065","Sem III","2","4","0","ERROR","legacy_only=[597,599,608,613] new_only=[]"
"0704230065","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230026","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230026","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,609,593] new_only=[]"
"0704230026","Sem III","2","4","0","ERROR","legacy_only=[597,599,600,613] new_only=[]"
"0704230026","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230028","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230028","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,608,593] new_only=[]"
"0704230028","Sem III","2","4","0","ERROR","legacy_only=[597,599,609,613] new_only=[]"
"0704230028","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230002","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230002","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,608,593] new_only=[]"
"0704230002","Sem III","2","4","0","ERROR","legacy_only=[597,599,609,613] new_only=[]"
"0704230002","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230049","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230049","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,608,593] new_only=[]"
"0704230049","Sem III","2","4","0","ERROR","legacy_only=[597,599,602,613] new_only=[]"
"0704230049","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230052","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230052","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,608,593] new_only=[]"
"0704230052","Sem III","2","4","0","ERROR","legacy_only=[597,599,609,613] new_only=[]"
"0704230052","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230043","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230043","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,609,593] new_only=[]"
"0704230043","Sem III","2","4","0","ERROR","legacy_only=[597,599,611,613] new_only=[]"
"0704230043","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230019","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,596,593] new_only=[]"
"0704230019","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,609,593] new_only=[]"
"0704230019","Sem III","2","4","0","ERROR","legacy_only=[597,599,608,613] new_only=[]"
"0704230019","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230044","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,599,596] new_only=[]"
"0704230044","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,618,608,599] new_only=[]"
"0704230044","Sem III","2","4","0","ERROR","legacy_only=[597,593,604,613] new_only=[]"
"0704230044","Sem IV","2","3","0","ERROR","legacy_only=[597,593,613] new_only=[]"
"0704230053","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230053","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,603,593] new_only=[]"
"0704230053","Sem III","2","4","0","ERROR","legacy_only=[597,599,609,613] new_only=[]"
"0704230053","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230004","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230004","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,608,593] new_only=[]"
"0704230004","Sem III","2","4","0","ERROR","legacy_only=[597,599,609,613] new_only=[]"
"0704230004","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230014","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,595] new_only=[]"
"0704230014","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,618,603,593] new_only=[]"
"0704230014","Sem III","2","4","0","ERROR","legacy_only=[597,599,608,613] new_only=[]"
"0704230014","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230029","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,599,596] new_only=[]"
"0704230029","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,618,609,599] new_only=[]"
"0704230029","Sem III","2","4","0","ERROR","legacy_only=[597,593,608,613] new_only=[]"
"0704230029","Sem IV","2","3","0","ERROR","legacy_only=[597,593,613] new_only=[]"
"0704230013","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230013","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,608,593] new_only=[]"
"0704230013","Sem III","2","4","0","ERROR","legacy_only=[597,599,609,613] new_only=[]"
"0704230013","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230006","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,593,596] new_only=[]"
"0704230006","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,608,593] new_only=[]"
"0704230006","Sem III","2","4","0","ERROR","legacy_only=[597,599,600,613] new_only=[]"
"0704230006","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
"0704230032","Sem I","5","6","0","ERROR","legacy_only=[597,612,616,614,596,593] new_only=[]"
"0704230032","Sem II","5","7","0","ERROR","legacy_only=[597,612,616,615,617,609,593] new_only=[]"
"0704230032","Sem III","2","4","0","ERROR","legacy_only=[597,599,608,613] new_only=[]"
"0704230032","Sem IV","2","3","0","ERROR","legacy_only=[597,599,613] new_only=[]"
